id,categoria,nombre,precio,descripcion_corta,descripcion_larga,imagen,disponible,variantes,descuento
1,mates,Mate Ranchero Algarrobo,35000,"Mate artesanal de algarrobo con guarda de cuero blanco y marrón.","Mate tallado en algarrobo macizo con guarda de cuero bicolor blanco y marrón. Pieza única de estilo rústico.",mates/mate-ranchero-algarrobo.jpg,SI,,
2,mates,Mate Imperial de Calabaza Animal Print,40000,"Mate imperial de calabaza con funda animal print y virola plateada.","Calabaza imperial forrada en cuero animal print con base de patas y virola grabada plateada. Un clásico con personalidad.",mates/mate-imperial-animal-print.jpg,SI,,
3,mates,Mate Imperial de Calabaza 100% de Cuero,30000,"Mate imperial de calabaza 100% forrado en cuero negro.","Calabaza imperial revestida completamente en cuero genuino negro con virola plateada grabada y base de patas.",mates/mate-imperial-cuero-negro.jpg,SI,,
4,mates,Mate Imperial de Cuero Croco,40000,"Mate imperial con textura de cuero croco y virola grabada.","Calabaza imperial forrada en cuero texturado símil croco, virola plateada grabada y base de patas.",mates/mate-imperial-croco.jpg,SI,,
5,mates,Camionero de Algarrobo,30000,"Mate camionero de algarrobo con virola de acero.","Mate camionero tallado en algarrobo con virola de acero inoxidable. Ideal para el uso diario.",mates/mate-camionero-algarrobo.jpg,SI,,
6,bombillas,Bombillón de Alpaca Pico de Loro,30000,"Bombillón de alpaca torneada con pico de loro.","Bombillón de alpaca con cuerpo torneado a mano y pico de loro. Terminación premium.",bombillas/bombillon-alpaca-pico-loro.jpg,SI,,
7,bombillas,Bombillón de Alpaca Premium Pico Recto,30000,"Bombillón de alpaca premium con pico recto y trenzado.","Bombillón de alpaca con detalle trenzado y pico recto. Pieza premium de colección.",bombillas/bombillon-alpaca-premium.jpg,SI,,
8,bombillas,Bombilla Chata con Dije de Bronce,7000,"Bombilla chata clásica con dije de bronce.","Bombilla de caño chato con dije decorativo de bronce. Ideal como opción de entrada.",bombillas/bombilla-chata-dije-bronce.jpg,SI,,
9,bombillas,Bombilla de Caño Liso Pico de Loro,8500,"Bombilla de caño liso con pico de loro.","Bombilla de caño liso dorado con pico de loro y filtro perforado.",bombillas/bombilla-cano-liso-pico-loro.jpg,SI,,
10,bombillas,Bombilla de Acero Inoxidable Pico de Loro,7500,"Bombilla de acero inoxidable con pico de loro.","Bombilla de acero inoxidable, resistente y fácil de limpiar, con pico de loro clásico.",bombillas/bombilla-acero-pico-loro.jpg,SI,,
11,canastas,Canasta de Cuerina,20000,"Canasta matera de cuerina con asas reforzadas.","Canasta compacta de cuerina para llevar el mate a cualquier lado, con asas reforzadas.",canastas/canasta-cuerina.jpg,SI,,
12,canastas,Canasta de Cuero Reforzada,40000,"Canasta matera de cuero genuino reforzado.","Canasta de cuero genuino con costura reforzada y asas dobles. La más resistente de la línea.",canastas/canasta-cuero-reforzada.jpg,SI,,
13,canastas,Canasta para el Auto,10000,"Canasta compacta pensada para llevar en el auto.","Canasta chica de cuero, ideal para tener el mate siempre a mano en el auto.",canastas/canasta-auto.jpg,SI,,
14,canastas,Media Canasta de Cuero Reforzado,30000,"Media canasta de cuero reforzado, formato compacto.","Versión compacta de la canasta de cuero reforzado, con asa y broche metálico.",canastas/media-canasta-cuero.jpg,SI,,
15,termos,Termo Luminox Premium,60000,"Termo Luminox premium de 1 litro, alta gama.","Termo Luminox de 1 litro, tecnología premium de conservación de temperatura. Línea alta gama.",termos/termo-luminox-premium.jpg,SI,,
16,termos,Termo Pico System Pico Cebador,30000,"Termo con sistema de pico cebador y vaso incluido.","Termo con sistema de pico cebador para cebar sin destapar, incluye vaso y funda.",termos/termo-pico-system.jpg,SI,,
17,termos,Termo Media Manija Plateado Pico Cebador,25000,"Termo media manija plateado con pico cebador.","Termo de media manija en acabado plateado, con pico cebador y clip de sujeción.",termos/termo-media-manija-plateado.jpg,SI,,
18,termos,Termo Media Manija Black Pico Cebador,25000,"Termo media manija negro con pico cebador.","Termo de media manija en acabado negro mate, con pico cebador y clip de sujeción.",termos/termo-media-manija-black.jpg,SI,,
19,yerba,Yerba Reí Verde Premium,8000,"Yerba premium Reí Verde, disponible en 500gr y 1kg.","Yerba mate premium línea export Reí Verde. Sabor suave y parejo.",yerba/yerba-rei-verde.jpg,SI,500gr:8000|1kg:12000,
20,yerba,Yerba Esmeralda,8000,"Yerba Esmeralda sin agregado de azúcar, 500gr y 1kg.","Yerba mate Esmeralda super extra tipo P.U.1, sin agregado de azúcar.",yerba/yerba-esmeralda.jpg,SI,500gr:8000|1kg:15000,
21,yerba,Yerba Sara Tradicional 1kg,15000,"Yerba Sara tradicional, paquete de 1kg.","Yerba mate Sara tradicional, elaborada, paquete de 1kg.",yerba/yerba-sara.jpg,SI,,
22,yerba,Yerba Baldo,8000,"Yerba Baldo, disponible en 500gr y 1kg.","Yerba mate Baldo, clásica y de consumo masivo en Argentina.",yerba/yerba-baldo.jpg,SI,500gr:8000|1kg:12000,
23,yerba,Yerba Mate Barão,7000,"Yerba Barão tipo Uruguay, disponible en 500gr y 1kg.","Erva-mate Barão de Cotegipe, tipo Uruguay, ideal para quienes buscan un sabor distinto.",yerba/yerba-barao.jpg,SI,500gr:7000|1kg:10000,
24,yerba,Yerba Verdecita,6000,"Yerba Verdecita, disponible en 500gr y 1kg.","Yerba mate Verdecita, selección especial, buena relación precio-calidad.",yerba/yerba-verdecita.jpg,SI,500gr:6000|1kg:10000,
25,accesorios,Cosito para el Mate,12000,"Accesorio de acero para limpiar el mate.","Accesorio de acero para remover y limpiar la yerba usada del mate.",accesorios/cosito-mate.jpg,SI,,
26,accesorios,Caja de Presentación para Bombilla,8000,"Caja de regalo para bombilla.","Estuche de presentación premium pensado para regalar una bombilla.",accesorios/caja-bombilla.jpg,SI,,
27,accesorios,Caja de Presentación para Mate y Bombilla,12000,"Caja de regalo para mate y bombilla juntos.","Estuche de presentación premium para regalar el set completo de mate y bombilla.",accesorios/caja-mate-bombilla.jpg,SI,,
28,accesorios,Juego de 12 Cubiertos,65000,"Juego de 12 cubiertos para asado, línea Barbacoa.","Set de 12 cubiertos con mango de asta para asado, ideal para acompañar el ritual matero y de fogón.",accesorios/juego-cubiertos.jpg,SI,,
29,accesorios,Kit Matero (Tapa Mate y Bombilla),12500,"Kit con tapa para mate y funda para bombilla.","Kit práctico con tapa para el mate y funda protectora para la bombilla.",accesorios/kit-matero.jpg,SI,,
30,accesorios,Chunas de Cuero con Cierre,12000,"Chuna de cuero con cierre e interior plastificado.","Chuna de cuero con cierre, interior forrado y plastificado, para guardar la yerba prolija y seca.",accesorios/chunas-cuero.jpg,SI,,
31,accesorios,Latas Plateadas Yerbero y Azucarero,10000,"Set de latas plateadas para yerba y azúcar.","Set de dos latas plateadas estilo tambor, una para yerba y otra para azúcar.",accesorios/latas-plateadas.jpg,SI,,
32,accesorios,Lata de Baldo Yerbera,25000,"Lata yerbera de colección Baldo.","Set de latas yerberas de colección con estética Baldo, ideal como regalo o pieza de mesa.",accesorios/lata-baldo.jpg,SI,,
33,accesorios,Latas Forradas Negras Yerbero y Azucarero,10000,"Set de latas negras forradas para yerba y azúcar.","Set de dos latas forradas en negro mate, una para yerba y otra para azúcar.",accesorios/latas-negras.jpg,SI,,
34,accesorios,Combo Imperial de Cuero + Bombilla + Grabado Personalizado,40000,"Combo mate imperial de cuero + bombilla de acero + grabado a elección.","Combo compuesto por mate imperial de cuero, bombilla de acero inoxidable y grabado personalizado a elección del cliente.",accesorios/combo-imperial-grabado.jpg,SI,,
